cdm_name,denominator_cohort_name,outcome_cohort_name,incidence_start_date,incidence_end_date,analysis_censor_cohort_name,analysis_complete_database_intervals,analysis_outcome_washout,analysis_repeated_events,denominator_age_group,denominator_days_prior_observation,denominator_end_date,denominator_requirements_at_entry,denominator_sex,denominator_start_date,denominator_target_cohort_name,denominator_time_at_risk,denominator_count,outcome_count,person_days,person_years,incidence_100000_pys,incidence_100000_pys_95CI_lower,incidence_100000_pys_95CI_upper,result_type
mock,denominator_cohort_1,cohort_1,2021-02-01,2024-03-31,None,FALSE,inf,FALSE,0 to 9,0,2024-03-31,FALSE,Both,2021-02-01,cohort_0,0 to Inf,80841,63,86941352,238032.449,26.467,20.338,33.863,tidy_incidence
mock,denominator_cohort_11,cohort_1,2022-02-16,2024-03-31,None,FALSE,inf,FALSE,0 to 9,0,2024-03-31,FALSE,Both,2021-02-01,cohort_1,0 to Inf,6250,0,186937,511.806,0,0,720.757,tidy_incidence
mock,denominator_cohort_21,cohort_1,2021-10-04,2024-03-31,None,FALSE,inf,FALSE,0 to 9,0,2024-03-31,FALSE,Both,2021-02-01,cohort_2,0 to Inf,5863,0,504167,1380.334,0,0,267.245,tidy_incidence
mock,denominator_cohort_31,cohort_1,2022-09-09,2024-03-31,None,FALSE,inf,FALSE,0 to 9,0,2024-03-31,FALSE,Both,2021-02-01,cohort_3,0 to Inf,3013,0,269867,738.856,0,0,499.269,tidy_incidence
mock,denominator_cohort_41,cohort_1,2023-03-19,2024-03-31,None,FALSE,inf,FALSE,0 to 9,0,2024-03-31,FALSE,Both,2021-02-01,cohort_4,0 to Inf,1106,0,95232,260.731,0,0,1414.822,tidy_incidence
mock,denominator_cohort_51,cohort_1,2023-07-07,2024-03-31,None,FALSE,inf,FALSE,0 to 9,0,2024-03-31,FALSE,Both,2021-02-01,cohort_5,0 to Inf,295,0,25457,69.697,0,0,5292.738,tidy_incidence
mock,denominator_cohort_61,cohort_1,2023-11-10,2024-03-31,None,FALSE,inf,FALSE,0 to 9,0,2024-03-31,FALSE,Both,2021-02-01,cohort_6,0 to Inf,9,0,699,1.914,0,0,192731.424,tidy_incidence
mock,denominator_cohort_2,cohort_1,2021-02-01,2024-03-31,None,FALSE,inf,FALSE,10 to 19,0,2024-03-31,FALSE,Both,2021-02-01,cohort_0,0 to Inf,112292,24,72550471,198632.364,12.083,7.742,17.978,tidy_incidence
mock,denominator_cohort_12,cohort_1,2021-06-02,2024-03-31,None,FALSE,inf,FALSE,10 to 19,0,2024-03-31,FALSE,Both,2021-02-01,cohort_1,0 to Inf,65198,1,1637201,4482.412,22.309,0.565,124.3,tidy_incidence
mock,denominator_cohort_22,cohort_1,2021-04-04,2024-03-31,None,FALSE,inf,FALSE,10 to 19,0,2024-03-31,FALSE,Both,2021-02-01,cohort_2,0 to Inf,64077,2,5827300,15954.278,12.536,1.518,45.284,tidy_incidence
mock,denominator_cohort_32,cohort_1,2022-01-22,2024-03-31,None,FALSE,inf,FALSE,10 to 19,0,2024-03-31,FALSE,Both,2021-02-01,cohort_3,0 to Inf,38282,0,3479237,9525.632,0,0,38.726,tidy_incidence
mock,denominator_cohort_42,cohort_1,2022-09-16,2024-03-31,None,FALSE,inf,FALSE,10 to 19,0,2024-03-31,FALSE,Both,2021-02-01,cohort_4,0 to Inf,13370,1,1207925,3307.118,30.238,0.766,168.474,tidy_incidence
