ageGroup,cohort_definition_id,from0toD,pyrs,rate,SE.rate,rate.lo,rate.hi
0,0,63,260373.30774011268,2.4196028597095064e-4,3.0484130658724093e-5,1.890169731584962e-4,3.097329250852654e-4
0,1,0,497.1800958155802,0,0,0,0
0,2,0,1373.1852833295593,0,0,0,0
0,3,0,735.7487162212653,0,0,0,0
0,4,0,259.38597948948313,0,0,0,0
0,5,0,69.19946852310113,0,0,0,0
0,6,0,1.886675649374638,0,0,0,0
0,7,0,0,0,0,0,0
10,0,24,211245.54083390854,1.1361186562924876e-4,2.3190924959775463e-5,7.614996556485364e-5,1.6950311029051752e-4
10,1,1,4311.14557975909,2.3195690832038217e-4,2.319569083203822e-4,3.2673083827736626e-5,0.0016467379571889458
10,2,2,15806.2342390899,1.265323523457512e-4,8.947188438316624e-5,3.1644638485947724e-5,5.059446704458007e-4
10,3,0,9440.678673553575,0,0,0,0
10,4,1,3281.516782693374,3.047371280482159e-4,3.047371280482159e-4,4.292479065288603e-5,0.0021634285409108016
10,5,0,719.8379220002194,0,0,0,0
10,6,0,16.60015719739522,0,0,0,0
10,7,0,0,0,0,0,0
20,0,59,212133.90208101174,2.781262184932068e-4,3.620894950084527e-5,2.154879019420041e-4,3.589723261315611e-4
20,1,1,7381.619252938213,1.3547163105194778e-4,1.3547163105194778e-4,1.9082320029575795e-5,9.617574168880069e-4
20,2,4,25846.36304364109,1.547606521368626e-4,7.73803260684313e-5,5.8083390412445116e-5,4.123529855911312e-4
20,3,2,18165.655355939725,1.100978721004992e-4,7.785095195647217e-5,2.7534518216908798e-5,4.4023074402711423e-4
20,4,1,5642.21565236928,1.772353383160886e-4,1.772353383160886e-4,2.4965089886611462e-5,0.001258251634209601
20,5,0,1468.5486862789817,0,0,0,0
20,6,0,378.43206078299863,0,0,0,0
20,7,0,132.14157496818052,0,0,0,0
30,0,77,191956.61920804222,4.0113229915008844e-4,4.571326804772401e-5,3.208355113520597e-4,5.015252854752393e-4
30,1,0,8008.6750804701005,0,0,0,0
30,2,9,28521.329313571474,3.15553314540549e-4,1.05184438180183e-4,1.641850784503417e-4,6.064734704112777e-4
30,3,5,20460.422501684126,2.4437423027742674e-4,1.0928747816990268e-4,1.0171371321075388e-4,5.871259886063333e-4
30,4,2,7515.375641889436,2.6612109564455263e-4,1.88176031347057e-4,6.65545665518402e-5,0.0010640958421973086
30,5,0,2497.377071637177,0,0,0,0
30,6,1,762.8561643835674,0.0013108631045907046,0.0013108631045907046,1.8464610695630553e-4,0.009306245917136042
30,7,3,308.359038850203,0.009728918637138971,0.005616993794076153,0.0031377193847051863,0.03016581352349435
40,0,180,175577.56628492117,0.0010251879201235894,7.641299597026569e-5,8.858445085424229e-4,0.001186450061418425
40,1,5,9847.49266412154,5.077434602431391e-4,2.270697784469242e-4,2.1133354626294608e-4,0.0012198887776146596
40,2,24,36289.95680814443,6.613399990218165e-4,1.349954620080147e-4,4.432725215209075e-4,9.86685555886746e-4
40,3,16,28177.190807694948,5.678351723987523e-4,1.4195879309968808e-4,3.4787081415773387e-4,9.268865621676427e-4
40,4,5,13021.802372932161,3.8397142398607405e-4,1.7171724109005097e-4,1.5981701203153368e-4,9.225179007151204e-4
40,5,6,4668.260423684542,0.0012852753393017328,5.247114600452938e-4,5.774152029507507e-4,0.0028609096008822676
40,6,2,1570.140901265083,0.001273771034426639,9.006921361220798e-4,3.1855903372570246e-4,0.00509322441485482
40,7,1,646.3180477580518,0.0015472258642146854,0.0015472258642146854,2.1793979204147966e-4,0.010984262453729682
50,0,578,171409.67129278305,0.0033720384365752867,1.4025830852494524e-4,0.003108039639365298,0.0036584614538774478
50,1,14,11343.086660678086,0.0012342319528010274,3.2986236451359937e-4,7.309697819161858e-4,0.0020839828827420733
50,2,48,42662.113998053705,0.0011251200538770726,1.6239709149414353e-4,8.478836249108498e-4,0.0014930057598051246
50,3,45,36918.96114978636,0.0012188858678180983,1.817007771503394e-4,9.100621995465821e-4,0.001632506832507588
50,4,29,22168.390987349358,0.001308168915666869,2.4292086918746648e-4,9.090688203524472e-4,0.0018824822429324506
50,5,15,9575.499131671753,0.0015664979750649511,4.044680379529465e-4,9.44379401563383e-4,0.0025984428523326848
50,6,12,3499.2273298900254,0.0034293284970362695,9.899618654517725e-4,0.0019475286401150352,0.0060385730398760116
50,7,4,1448.5985403098832,0.002761289542059267,0.0013806447710296337,0.001036342612277141,0.007357335156114241
60,0,897,110712.25388878032,0.008102084173095339,2.705207166483224e-4,0.007588840695485167,0.008650038995676311
60,1,20,8633.649913916073,0.0023165173709166938,5.179890312428821e-4,0.0014945058260080585,0.003590653603601177
60,2,108,34151.55373905196,0.003162374421533363,3.0429962059177904e-4,0.0026188153439584325,0.0038187541573099946
60,3,82,31991.809910921,0.002563156014877663,2.830532302908624e-4,0.002064304831511039,0.003182557467442717
60,4,67,26155.44245078234,0.002561608358416279,3.1295026980618395e-4,0.0020161368206328386,0.0032546587685693207
60,5,56,19246.577228834743,0.0029096082557527264,3.888127579555583e-4,0.0022391636710924552,0.0037807956208105505
60,6,31,11806.845145594907,0.00262559554374828,4.715708806350641e-4,0.0018464804213642878,0.0037334552154402565
60,7,18,6366.800037427882,0.002827165906606956,6.663693947003974e-4,0.00178121966206886,0.004487300041476712
70,0,2155,96215.14070665675,0.022397722272944762,4.824810026030434e-4,0.02147174507908055,0.023363632586376037
70,1,75,8947.979489482765,0.008381780500073023,9.678446456011032e-4,0.006684150029716417,0.01051057262914026
70,2,305,37774.12427576881,0.00807431028111617,4.6233366177004604e-4,0.007217135852223286,0.009033290747278188
70,3,303,36416.764016767105,0.008320343890536016,4.779912673601279e-4,0.00743430076442699,0.009311988396815395
70,4,251,33611.4134890339,0.007467701412851666,4.713571335797529e-4,0.006598703165582719,0.008451140018295115
70,5,225,29686.361524066568,0.007579238022065916,5.052825348043944e-4,0.006650858892809801,0.00863720760295079
70,6,157,23824.43837113593,0.0065898720278002665,5.259290435707446e-4,0.005635629759557751,0.0077056895494483635
70,7,126,19000.99410135459,0.00663123199385749,5.907570993625849e-4,0.005568801888425192,0.007896355201243188
80,0,3457,60863.96466054036,0.056798797437546164,9.660274139597003e-4,0.05493659483620861,0.058724123691501186
80,1,196,6468.538693016643,0.030300506698924017,0.002164321907066001,0.026341995035466286,0.03485387894787018
80,2,603,27055.510098061095,0.022287511779096464,9.076176433789409e-4,0.020577724203753818,0.024139364313802446
80,3,681,25688.426019911123,0.026509993234780375,0.0010158651480309756,0.02459183314670361,0.028577769583732912
80,4,635,23728.07901040511,0.026761542715764863,0.0010619994280050267,0.024758915744093567,0.028926152337610242
80,5,579,21004.29397410031,0.027565792057278642,0.0011455952226103144,0.02540944017914547,0.029905141017974254
80,6,346,17083.312456022366,0.0202536832883382,0.0010888447592130091,0.018228137468823406,0.022504311669029147
80,7,328,13611.238326221857,0.024097733956220033,0.001330574767865514,0.021625970140705355,0.026852010709648544
90,0,3901,22259.67280485509,0.17524965592257705,0.0028058806805500735,0.16983552477148423,0.18083638238999536
90,1,277,2327.8591286777028,0.11899345479610045,0.0071496237775123305,0.10577386892505243,0.13386522047656654
90,2,861,9415.531431993326,0.091444652510466,0.003116425420506548,0.08553599464569671,0.09776146881084495
90,3,912,8333.301100381655,0.10944042331054514,0.003623934546142813,0.10256310178614969,0.11677890046036747
90,4,785,7278.551530803162,0.1078511289887616,0.0038493718611005193,0.10056421122248009,0.11566605935402899
90,5,741,6023.535489183444,0.123017454006974,0.004519159092947014,0.11447126704685072,0.13220168152907943
90,6,480,4586.39895950296,0.1046572712575399,0.004776929022890972,0.09570107937170362,0.11445162895741437
90,7,343,3261.4429373455423,0.10516817451332276,0.005678547665324355,0.09460692520013574,0.11690840714955228
