cdm_name,denominator_cohort_name,outcome_cohort_name,incidence_start_date,incidence_end_date,analysis_censor_cohort_name,analysis_complete_database_intervals,analysis_outcome_washout,analysis_repeated_events,denominator_age_group,denominator_days_prior_observation,denominator_end_date,denominator_requirements_at_entry,denominator_sex,denominator_start_date,denominator_target_cohort_name,denominator_time_at_risk,denominator_count,outcome_count,person_days,person_years,incidence_100000_pys,incidence_100000_pys_95CI_lower,incidence_100000_pys_95CI_upper,result_type
mock,denominator_cohort_1,cohort_1,2021-02-01,2024-03-31,None,FALSE,inf,FALSE,0 to 9,0,2024-03-31,FALSE,Both,2021-02-01,cohort_0,0 to Inf,80841,63,86941352,238032.449,26.467,20.338,33.863,tidy_incidence
mock,denominator_cohort_11,cohort_1,2022-02-16,2024-03-31,None,FALSE,inf,FALSE,0 to 9,0,2024-03-31,FALSE,Both,2021-02-01,cohort_1,0 to Inf,6250,1,355893,974.382,102.629,2.598,571.813,tidy_incidence
mock,denominator_cohort_21,cohort_1,2021-10-04,2024-03-31,None,FALSE,inf,FALSE,0 to 9,0,2024-03-31,FALSE,Both,2021-02-01,cohort_2,0 to Inf,5863,0,2110345,5777.81,0,0,63.846,tidy_incidence
mock,denominator_cohort_31,cohort_1,2022-09-09,2024-03-31,None,FALSE,inf,FALSE,0 to 9,0,2024-03-31,FALSE,Both,2021-02-01,cohort_3,0 to Inf,3013,0,1034373,2831.959,0,0,130.259,tidy_incidence
mock,denominator_cohort_41,cohort_1,2023-03-19,2024-03-31,None,FALSE,inf,FALSE,0 to 9,0,2024-03-31,FALSE,Both,2021-02-01,cohort_4,0 to Inf,1106,0,195938,536.449,0,0,687.648,tidy_incidence
mock,denominator_cohort_51,cohort_1,2023-07-07,2024-03-31,None,FALSE,inf,FALSE,0 to 9,0,2024-03-31,FALSE,Both,2021-02-01,cohort_5,0 to Inf,295,0,41183,112.753,0,0,3271.646,tidy_incidence
mock,denominator_cohort_61,cohort_1,2023-11-10,2024-03-31,None,FALSE,inf,FALSE,0 to 9,0,2024-03-31,FALSE,Both,2021-02-01,cohort_6,0 to Inf,9,0,890,2.437,0,0,151369.694,tidy_incidence
mock,denominator_cohort_2,cohort_1,2021-02-01,2024-03-31,None,FALSE,inf,FALSE,10 to 19,0,2024-03-31,FALSE,Both,2021-02-01,cohort_0,0 to Inf,112292,24,72550471,198632.364,12.083,7.742,17.978,tidy_incidence
mock,denominator_cohort_12,cohort_1,2021-06-02,2024-03-31,None,FALSE,inf,FALSE,10 to 19,0,2024-03-31,FALSE,Both,2021-02-01,cohort_1,0 to Inf,65198,1,2344057,6417.678,15.582,0.395,86.817,tidy_incidence
mock,denominator_cohort_22,cohort_1,2021-04-04,2024-03-31,None,FALSE,inf,FALSE,10 to 19,0,2024-03-31,FALSE,Both,2021-02-01,cohort_2,0 to Inf,64077,9,30553157,83649.985,10.759,4.92,20.424,tidy_incidence
mock,denominator_cohort_32,cohort_1,2022-01-22,2024-03-31,None,FALSE,inf,FALSE,10 to 19,0,2024-03-31,FALSE,Both,2021-02-01,cohort_3,0 to Inf,38282,5,17210659,47120.216,10.611,3.445,24.763,tidy_incidence
mock,denominator_cohort_42,cohort_1,2022-09-16,2024-03-31,None,FALSE,inf,FALSE,10 to 19,0,2024-03-31,FALSE,Both,2021-02-01,cohort_4,0 to Inf,13370,2,5319034,14562.721,13.734,1.663,49.611,tidy_incidence
mock,denominator_cohort_52,cohort_1,2022-12-23,2024-03-31,None,FALSE,inf,FALSE,10 to 19,0,2024-03-31,FALSE,Both,2021-02-01,cohort_5,0 to Inf,3060,0,429195,1175.072,0,0,313.928,tidy_incidence
mock,denominator_cohort_62,cohort_1,2023-08-28,2024-03-31,None,FALSE,inf,FALSE,10 to 19,0,2024-03-31,FALSE,Both,2021-02-01,cohort_6,0 to Inf,71,0,9748,26.689,0,0,13821.722,tidy_incidence
mock,denominator_cohort_3,cohort_1,2021-02-01,2024-03-31,None,FALSE,inf,FALSE,20 to 29,0,2024-03-31,FALSE,Both,2021-02-01,cohort_0,0 to Inf,127439,51,43041643,117841.596,43.278,32.224,56.903,tidy_incidence
mock,denominator_cohort_13,cohort_1,2021-02-17,2024-03-31,None,FALSE,inf,FALSE,20 to 29,0,2024-03-31,FALSE,Both,2021-02-01,cohort_1,0 to Inf,105766,3,3700087,10130.286,29.614,6.107,86.545,tidy_incidence
mock,denominator_cohort_23,cohort_1,2021-03-15,2024-03-31,None,FALSE,inf,FALSE,20 to 29,0,2024-03-31,FALSE,Both,2021-02-01,cohort_2,0 to Inf,104588,29,43103376,118010.612,24.574,16.458,35.292,tidy_incidence
mock,denominator_cohort_33,cohort_1,2021-11-26,2024-03-31,None,FALSE,inf,FALSE,20 to 29,0,2024-03-31,FALSE,Both,2021-02-01,cohort_3,0 to Inf,73270,18,37088049,101541.544,17.727,10.506,28.016,tidy_incidence
mock,denominator_cohort_43,cohort_1,2022-06-18,2024-03-31,None,FALSE,inf,FALSE,20 to 29,0,2024-03-31,FALSE,Both,2021-02-01,cohort_4,0 to Inf,22756,4,8978446,24581.645,16.272,4.434,41.664,tidy_incidence
mock,denominator_cohort_53,cohort_1,2022-10-26,2024-03-31,None,FALSE,inf,FALSE,20 to 29,0,2024-03-31,FALSE,Both,2021-02-01,cohort_5,0 to Inf,6058,5,1503439,4116.192,121.471,39.441,283.474,tidy_incidence
mock,denominator_cohort_63,cohort_1,2023-05-08,2024-03-31,None,FALSE,inf,FALSE,20 to 29,0,2024-03-31,FALSE,Both,2021-02-01,cohort_6,0 to Inf,1549,0,267404,732.112,0,0,503.868,tidy_incidence
