cdm_name,denominator_cohort_name,outcome_cohort_name,incidence_start_date,incidence_end_date,analysis_interval,analysis_censor_cohort_name,analysis_complete_database_intervals,analysis_outcome_washout,analysis_repeated_events,denominator_age_group,denominator_days_prior_observation,denominator_end_date,denominator_requirements_at_entry,denominator_sex,denominator_start_date,denominator_target_cohort_name,denominator_time_at_risk,denominator_count,outcome_count,person_days,person_years,incidence_100000_pys,incidence_100000_pys_95CI_lower,incidence_100000_pys_95CI_upper,result_type
mock,denominator_cohort_1,cohort_1,2021-04-01,2021-06-30,quarters,None,TRUE,inf,FALSE,20 to 49,0,2024-03-31,FALSE,Both,2021-02-01,cohort_0,0 to Inf,429870,50,37588325,102911.225,48.586,36.061,64.054,tidy_incidence
mock,denominator_cohort_1,cohort_1,2021-07-01,2021-09-30,quarters,None,TRUE,inf,FALSE,20 to 49,0,2024-03-31,FALSE,Both,2021-02-01,cohort_0,0 to Inf,387950,49,23892333,65413.643,74.908,55.417,99.032,tidy_incidence
mock,denominator_cohort_1,cohort_1,2021-10-01,2021-12-31,quarters,None,TRUE,inf,FALSE,20 to 49,0,2024-03-31,FALSE,Both,2021-02-01,cohort_0,0 to Inf,110655,18,7470499,20453.112,88.006,52.158,139.088,tidy_incidence
mock,denominator_cohort_1,cohort_1,2022-01-01,2022-03-31,quarters,None,TRUE,inf,FALSE,20 to 49,0,2024-03-31,FALSE,Both,2021-02-01,cohort_0,0 to Inf,73189,24,6389921,17494.65,137.185,87.897,204.12,tidy_incidence
mock,denominator_cohort_1,cohort_1,2022-04-01,2022-06-30,quarters,None,TRUE,inf,FALSE,20 to 49,0,2024-03-31,FALSE,Both,2021-02-01,cohort_0,0 to Inf,69017,12,6187682,16940.95,70.834,36.601,123.733,tidy_incidence
mock,denominator_cohort_1,cohort_1,2022-07-01,2022-09-30,quarters,None,TRUE,inf,FALSE,20 to 49,0,2024-03-31,FALSE,Both,2021-02-01,cohort_0,0 to Inf,67306,10,6144744,16823.392,59.441,28.504,109.314,tidy_incidence
mock,denominator_cohort_1,cohort_1,2022-10-01,2022-12-31,quarters,None,TRUE,inf,FALSE,20 to 49,0,2024-03-31,FALSE,Both,2021-02-01,cohort_0,0 to Inf,66302,17,6071897,16623.948,102.262,59.571,163.732,tidy_incidence
mock,denominator_cohort_1,cohort_1,2023-01-01,2023-03-31,quarters,None,TRUE,inf,FALSE,20 to 49,0,2024-03-31,FALSE,Both,2021-02-01,cohort_0,0 to Inf,65751,24,5891168,16129.139,148.799,95.338,221.401,tidy_incidence
mock,denominator_cohort_1,cohort_1,2023-04-01,2023-06-30,quarters,None,TRUE,inf,FALSE,20 to 49,0,2024-03-31,FALSE,Both,2021-02-01,cohort_0,0 to Inf,65013,9,5896574,16143.94,55.748,25.492,105.828,tidy_incidence
mock,denominator_cohort_1,cohort_1,2023-07-01,2023-09-30,quarters,None,TRUE,inf,FALSE,20 to 49,0,2024-03-31,FALSE,Both,2021-02-01,cohort_0,0 to Inf,64634,18,5934111,16246.71,110.792,65.662,175.099,tidy_incidence
mock,denominator_cohort_1,cohort_1,2023-10-01,2023-12-31,quarters,None,TRUE,inf,FALSE,20 to 49,0,2024-03-31,FALSE,Both,2021-02-01,cohort_0,0 to Inf,64339,14,5905132,16167.37,86.594,47.342,145.29,tidy_incidence
mock,denominator_cohort_1,cohort_1,2024-01-01,2024-03-31,quarters,None,TRUE,inf,FALSE,20 to 49,0,2024-03-31,FALSE,Both,2021-02-01,cohort_0,0 to Inf,64038,11,5815889,15923.036,69.082,34.486,123.607,tidy_incidence
mock,denominator_cohort_4,cohort_1,2021-04-01,2021-06-30,quarters,None,TRUE,inf,FALSE,20 to 49,0,2024-03-31,FALSE,Both,2021-02-01,cohort_1,0 to Inf,42802,0,728105,1993.443,0,0,185.051,tidy_incidence
mock,denominator_cohort_4,cohort_1,2021-07-01,2021-09-30,quarters,None,TRUE,inf,FALSE,20 to 49,0,2024-03-31,FALSE,Both,2021-02-01,cohort_1,0 to Inf,295082,4,6625458,18139.515,22.051,6.008,56.46,tidy_incidence
mock,denominator_cohort_4,cohort_1,2021-10-01,2021-12-31,quarters,None,TRUE,inf,FALSE,20 to 49,0,2024-03-31,FALSE,Both,2021-02-01,cohort_1,0 to Inf,111253,1,1829597,5009.164,19.963,0.505,111.229,tidy_incidence
mock,denominator_cohort_4,cohort_1,2022-01-01,2022-03-31,quarters,None,TRUE,inf,FALSE,20 to 49,0,2024-03-31,FALSE,Both,2021-02-01,cohort_1,0 to Inf,6068,0,148923,407.729,0,0,904.738,tidy_incidence
mock,denominator_cohort_4,cohort_1,2022-04-01,2022-06-30,quarters,None,TRUE,inf,FALSE,20 to 49,0,2024-03-31,FALSE,Both,2021-02-01,cohort_1,0 to Inf,2300,0,60751,166.327,0,0,2217.848,tidy_incidence
mock,denominator_cohort_4,cohort_1,2022-07-01,2022-09-30,quarters,None,TRUE,inf,FALSE,20 to 49,0,2024-03-31,FALSE,Both,2021-02-01,cohort_1,0 to Inf,1072,0,28379,77.697,0,0,4747.776,tidy_incidence
mock,denominator_cohort_4,cohort_1,2022-10-01,2022-12-31,quarters,None,TRUE,inf,FALSE,20 to 49,0,2024-03-31,FALSE,Both,2021-02-01,cohort_1,0 to Inf,499,0,15019,41.12,0,0,8971.01,tidy_incidence
mock,denominator_cohort_4,cohort_1,2023-01-01,2023-03-31,quarters,None,TRUE,inf,FALSE,20 to 49,0,2024-03-31,FALSE,Both,2021-02-01,cohort_1,0 to Inf,252,0,7057,19.321,0,0,19092.591,tidy_incidence
mock,denominator_cohort_4,cohort_1,2023-04-01,2023-06-30,quarters,None,TRUE,inf,FALSE,20 to 49,0,2024-03-31,FALSE,Both,2021-02-01,cohort_1,0 to Inf,76,0,2127,5.823,0,0,63350.154,tidy_incidence
mock,denominator_cohort_4,cohort_1,2023-07-01,2023-09-30,quarters,None,TRUE,inf,FALSE,20 to 49,0,2024-03-31,FALSE,Both,2021-02-01,cohort_1,0 to Inf,31,0,721,1.974,0,0,186873.326,tidy_incidence
mock,denominator_cohort_4,cohort_1,2023-10-01,2023-12-31,quarters,None,TRUE,inf,FALSE,20 to 49,0,2024-03-31,FALSE,Both,2021-02-01,cohort_1,0 to Inf,32,0,1005,2.752,0,0,134043.585,tidy_incidence
mock,denominator_cohort_4,cohort_1,2024-01-01,2024-03-31,quarters,None,TRUE,inf,FALSE,20 to 49,0,2024-03-31,FALSE,Both,2021-02-01,cohort_1,0 to Inf,21,1,660,1.807,55340.343,1401.096,308336.657,tidy_incidence
mock,denominator_cohort_7,cohort_1,2021-04-01,2021-06-30,quarters,None,TRUE,inf,FALSE,20 to 49,0,2024-03-31,FALSE,Both,2021-02-01,cohort_2,0 to Inf,29292,0,1233478,3377.079,0,0,109.233,tidy_incidence
mock,denominator_cohort_7,cohort_1,2021-07-01,2021-09-30,quarters,None,TRUE,inf,FALSE,20 to 49,0,2024-03-31,FALSE,Both,2021-02-01,cohort_2,0 to Inf,246453,8,8169588,22367.113,35.767,15.442,70.475,tidy_incidence
mock,denominator_cohort_7,cohort_1,2021-10-01,2021-12-31,quarters,None,TRUE,inf,FALSE,20 to 49,0,2024-03-31,FALSE,Both,2021-02-01,cohort_2,0 to Inf,328948,27,21099395,57766.995,46.739,30.802,68.004,tidy_incidence
mock,denominator_cohort_7,cohort_1,2022-01-01,2022-03-31,quarters,None,TRUE,inf,FALSE,20 to 49,0,2024-03-31,FALSE,Both,2021-02-01,cohort_2,0 to Inf,104649,0,2317235,6344.244,0,0,58.145,tidy_incidence
mock,denominator_cohort_7,cohort_1,2022-04-01,2022-06-30,quarters,None,TRUE,inf,FALSE,20 to 49,0,2024-03-31,FALSE,Both,2021-02-01,cohort_2,0 to Inf,5807,1,272721,746.669,133.928,3.391,746.2,tidy_incidence
mock,denominator_cohort_7,cohort_1,2022-07-01,2022-09-30,quarters,None,TRUE,inf,FALSE,20 to 49,0,2024-03-31,FALSE,Both,2021-02-01,cohort_2,0 to Inf,2569,0,99388,272.11,0,0,1355.657,tidy_incidence
mock,denominator_cohort_7,cohort_1,2022-10-01,2022-12-31,quarters,None,TRUE,inf,FALSE,20 to 49,0,2024-03-31,FALSE,Both,2021-02-01,cohort_2,0 to Inf,1134,0,54597,149.478,0,0,2467.841,tidy_incidence
mock,denominator_cohort_7,cohort_1,2023-01-01,2023-03-31,quarters,None,TRUE,inf,FALSE,20 to 49,0,2024-03-31,FALSE,Both,2021-02-01,cohort_2,0 to Inf,616,1,28247,77.336,1293.059,32.737,7204.463,tidy_incidence
mock,denominator_cohort_7,cohort_1,2023-04-01,2023-06-30,quarters,None,TRUE,inf,FALSE,20 to 49,0,2024-03-31,FALSE,Both,2021-02-01,cohort_2,0 to Inf,287,0,13342,36.528,0,0,10098.772,tidy_incidence
mock,denominator_cohort_7,cohort_1,2023-07-01,2023-09-30,quarters,None,TRUE,inf,FALSE,20 to 49,0,2024-03-31,FALSE,Both,2021-02-01,cohort_2,0 to Inf,71,0,2854,7.814,0,0,47208.593,tidy_incidence
mock,denominator_cohort_7,cohort_1,2023-10-01,2023-12-31,quarters,None,TRUE,inf,FALSE,20 to 49,0,2024-03-31,FALSE,Both,2021-02-01,cohort_2,0 to Inf,43,0,2020,5.53,0,0,66706.681,tidy_incidence
mock,denominator_cohort_7,cohort_1,2024-01-01,2024-03-31,quarters,None,TRUE,inf,FALSE,20 to 49,0,2024-03-31,FALSE,Both,2021-02-01,cohort_2,0 to Inf,38,0,1813,4.964,0,0,74312.64,tidy_incidence
mock,denominator_cohort_10,cohort_1,2022-01-01,2022-03-31,quarters,None,TRUE,inf,FALSE,20 to 49,0,2024-03-31,FALSE,Both,2021-02-01,cohort_3,0 to Inf,119732,1,3530318,9665.484,10.346,0.262,57.645,tidy_incidence
mock,denominator_cohort_10,cohort_1,2022-04-01,2022-06-30,quarters,None,TRUE,inf,FALSE,20 to 49,0,2024-03-31,FALSE,Both,2021-02-01,cohort_3,0 to Inf,224279,16,14365638,39330.973,40.68,23.252,66.062,tidy_incidence
mock,denominator_cohort_10,cohort_1,2022-07-01,2022-09-30,quarters,None,TRUE,inf,FALSE,20 to 49,0,2024-03-31,FALSE,Both,2021-02-01,cohort_3,0 to Inf,129380,5,4164047,11400.539,43.858,14.24,102.349,tidy_incidence
mock,denominator_cohort_10,cohort_1,2022-10-01,2022-12-31,quarters,None,TRUE,inf,FALSE,20 to 49,0,2024-03-31,FALSE,Both,2021-02-01,cohort_3,0 to Inf,32138,1,1323167,3622.634,27.604,0.699,153.801,tidy_incidence
